indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
2619;14;6.059.195.625;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;160480657;0;12;0;2010;2050000;0;1;0;0;2
2620;25;37.167.603.340.000.000;63;176480.0;6.607.142.857.142.850;3.392.857.142.857.140;5252089;2298170;6;2953919;2008;100000;1;0;1;0;1
2621;18;3.745.726.656;44;90290.9;6.607.142.857.142.850;3.392.857.142.857.140;11571711;0;12;0;2009;30000;0;0;1;0;1
2622;18;3.745.726.656;44;90290.9;6.785.714.285.714.280;3.214.285.714.285.710;9049348;-167469;9;9216817;2009;30000;0;0;1;0;1
2623;29;0.0;0;0.0;1.0;0.0;671575000;188107000;12;483468000;2006;288933700;0;0;0;1;0
2624;23;5.582.246.377.000.000;0;0.0;6.607.142.857.142.850;3.392.857.142.857.140;28233980;0;12;0;1988;1000000;0;0;1;0;1
2625;15;35.289.736.409.999.900;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;1066347;0;12;0;2010;5000;0;1;0;0;2
2626;6;49.618.682.770.000.000;11;9670.35;4.642.857.142.857.140;5.357.142.857.142.850;49441;0;9;0;2019;99800;1;0;0;0;1
2627;20;508.141.981;13;3670.63;8.214.285.714.285.710;1.785.714.285.714.280;21358958;0;12;0;2000;500000;1;1;0;0;2
2628;0;0.0;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;0;0;1;0;2019;30000;0;0;1;0;1
2629;10;376.920.331;83;12373.03;7.857.142.857.142.850;2.142.857.142.857.140;3159084;0;12;0;1982;100000;1;1;0;0;2
2630;3;25.748.654;0;0.0;8.392.857.142.857.140;1.607.142.857.142.850;14415099;0;12;0;2004;100000;1;1;0;0;2
2631;0;6.475.368.714.999.990;0;0.0;7.857.142.857.142.850;2.142.857.142.857.140;1855844;0;12;0;2010;100000;1;1;0;0;2
2632;33;0.0;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;1840778;703752;12;1137026;2012;1000000;0;1;0;0;2
2633;18;47.440.188.780.000.000;0;0.0;7.678.571.428.571.420;2.321.428.571.428.570;2442136;1499921;12;942215;1991;600000;1;1;0;0;2
2634;18;3.745.726.656;44;90290.9;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2635;5;39.411.837.590.000.000;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2636;15;0.0;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;7654305;0;12;0;2016;905000;0;0;1;0;1
2637;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2638;3;7.047.585.439;26;2533.33;8.749.999.999.999.990;125;59796706;0;12;0;2009;300000;1;1;0;0;2
2639;20;34.377.104.229.999.900;68;80842.7;0.75;0.25;75593780;16423107;12;59170673;1998;450000;1;1;0;0;2
2640;5;3.213.507.788;47;31906.0;8.928.571.428.571.420;1.071.428.571.428.570;24497661;0;12;0;2012;250000;1;0;0;1;0
2641;2;5.766.470.903;50;12336.67;8.571.428.571.428.570;1.428.571.428.571.420;2092278;0;12;0;1981;10000;1;1;0;0;2
2642;68;0.0;0;0.0;875;125;289845000;123201000;12;166644000;2000;211727313;0;1;0;0;2
2643;14;2.265.760.346;0;0.0;625;375;61858;0;7;0;2018;100000;1;0;1;0;1
2644;5;39.411.837.590.000.000;0;0.0;0.75;0.25;89282424;23932130;12;65350294;1994;4500000;0;1;0;0;2
2645;3;5.650.616.327;0;0.0;8.392.857.142.857.140;1.607.142.857.142.850;2847212;0;12;0;2011;40000;1;1;0;0;2
2646;3;3.570.699.771;0;0.0;7.321.428.571.428.570;2.678.571.428.571.420;2105361;0;6;0;2017;1500;1;1;0;0;2
2647;3;5.070.386.092;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;3444246;0;12;0;2001;60000;1;1;0;0;2
2648;94;5.122.162.537;126;238921.23;8.571.428.571.428.570;1.428.571.428.571.420;9489572;3539445;12;5950127;1996;480000;1;1;0;0;2
2649;42;0.0;0;0.0;7.321.428.571.428.570;2.678.571.428.571.420;64160718;17506321;12;46654397;1998;100000;0;1;0;0;2
2650;11;4.059.044.375;0;0.0;7.678.571.428.571.420;2.321.428.571.428.570;13375066;0;12;0;2013;400000;1;1;0;0;2
2651;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2652;13;5.249.080.429.999.990;0;0.0;5.535.714.285.714.280;4.464.285.714.285.710;894645;0;12;0;2018;150000;1;0;1;0;1
2653;39;3.212.366.949;0;0.0;5.535.714.285.714.280;4.464.285.714.285.710;731601;0;12;0;2002;60000;0;0;1;0;1
2654;20;5.167.641.478;12;14578.2;5.714.285.714.285.710;4.285.714.285.714.280;4396333;1744468;6;2651865;2007;250000;0;0;1;0;1
2655;0;5.301.537.148;0;0.0;0.75;0.25;0;0;1;0;2001;3200000;1;1;0;0;2
2656;0;31.457.396.390.000.000;0;0.0;6.428.571.428.571.420;3.571.428.571.428.570;0;0;1;0;2014;10000;1;0;1;0;1
2657;0;2.299.472.598;0;0.0;625;375;548037;0;12;0;2004;10000;1;0;1;0;1
2658;2;5.614.737.621;0;0.0;7.321.428.571.428.570;2.678.571.428.571.420;2954611;0;12;0;2006;100000;1;1;0;0;2
2659;5;6.139.476.892;0;0.0;7.321.428.571.428.570;2.678.571.428.571.420;14942300;5455181;12;9487119;1996;40000;1;1;0;0;2
2660;3;60.583.252;0;0.0;0.75;0.25;839968;0;12;0;2006;10000;1;1;0;0;2
2661;0;0.0;0;0.0;0.75;0.25;972644;0;12;0;2011;15000;0;1;0;0;2
2662;19;5.686.864.914;54;820167.46;8.035.714.285.714.280;1.964.285.714.285.710;1414468218;376278418;12;1038189800;2012;10000000;1;1;0;0;2
2663;2;0.0;0;0.0;0.75;0.25;6936907;0;12;0;1997;700000;0;1;0;0;2
2664;0;0.0;0;0.0;8.392.857.142.857.140;1.607.142.857.142.850;187189;175677;12;11512;2013;55000;0;1;0;0;2
2665;2;5.199.157.944;33;9232.16;8.571.428.571.428.570;1.428.571.428.571.420;3869251;0;12;0;1979;45000;1;1;0;0;2
2666;3;0.0;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;784131;307389;12;476742;1988;200000;0;1;0;0;2
2667;0;0.0;0;0.0;5.714.285.714.285.710;4.285.714.285.714.280;120708;0;4;0;2017;250000;0;0;1;0;1
2668;107;6.087.450.151;35;29100.0;5.535.714.285.714.280;4.464.285.714.285.710;6747986;0;12;0;2009;250000;0;0;1;0;1
2669;15;3.210.045.762;0;0.0;4.464.285.714.285.710;5.535.714.285.714.280;782963;0;12;0;2016;93700;1;0;0;0;1
2670;22;0.0;0;0.0;7.142.857.142.857.140;2.857.142.857.142.850;203012837;68739646;12;134273191;1978;7000000;0;1;0;0;2
2671;87;44.356.363.340.000.000;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;670647;0;12;0;1996;4000;0;1;0;0;2
2672;4;3.732.162.181;9;5666.66;9.107.142.857.142.850;892.857.142.857.142;34842269;16281627;12;18560642;2007;100000;1;0;0;1;0
2673;15;2.866.087.303;26;46346.4;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
2674;13;0.0;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;3870254;2051716;12;1818538;2010;100000;0;1;0;0;2
2675;23;46.935.087.740.000.000;116;214793.66;875;125;33453829;14154215;12;19299614;1997;750000;1;1;0;0;2
2676;5;6.049.918.771;0;0.0;0.75;0.25;265695982;0;12;0;1978;17578840;1;1;0;0;2
2677;15;36.683.052.479.999.900;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;945280;0;6;0;2018;150000;1;0;1;0;1
2678;0;0.0;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;7931992;3142960;12;4789032;2007;15000;0;1;0;0;2
2679;20;2.972.371.605;8;660.0;7.857.142.857.142.850;2.142.857.142.857.140;2604869;0;6;0;2006;100000;1;1;0;0;2
